epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,95.3795,2.26395,3.34338,2.04499,0.11035,0.22266,0.04972,0.01738,2.38795,5.52366,2.4078,0.000661836,0.000661836,0.000661836
2,172.026,2.08012,2.62238,1.87925,0.34794,0.19922,0.18118,0.04645,2.38498,3.41267,2.32615,0.00131535,0.00131535,0.00131535
3,247.025,1.99697,2.43353,1.81983,0.40956,0.29297,0.26287,0.09116,2.17205,2.51842,2.17648,0.00195566,0.00195566,0.00195566
4,319.343,1.94149,2.27709,1.7708,0.46345,0.42578,0.36569,0.15253,2.04118,2.40355,2.02959,0.0019406,0.0019406,0.0019406
5,391.342,1.87837,2.11815,1.7291,0.51008,0.39844,0.401,0.17408,1.97102,2.16874,1.99827,0.0019208,0.0019208,0.0019208
6,463.029,1.79423,1.99798,1.67351,0.6779,0.5625,0.55505,0.25866,1.89486,1.81042,1.93744,0.001901,0.001901,0.001901
7,536.79,1.73556,1.84985,1.63736,0.75627,0.59375,0.63649,0.28803,1.8664,1.60295,1.93601,0.0018812,0.0018812,0.0018812
8,610.314,1.70625,1.76059,1.61046,0.69762,0.65234,0.63135,0.31792,1.73148,1.62121,1.80728,0.0018614,0.0018614,0.0018614
9,683.886,1.6403,1.63633,1.56857,0.68103,0.57422,0.58528,0.29453,1.83946,1.70749,1.90422,0.0018416,0.0018416,0.0018416
10,757.969,1.62521,1.61201,1.5667,0.74606,0.65417,0.687,0.33062,1.78651,1.45469,1.84342,0.0018218,0.0018218,0.0018218
11,831.782,1.58967,1.54569,1.53523,0.76714,0.67578,0.69931,0.36392,1.68125,1.44511,1.77089,0.001802,0.001802,0.001802
12,903.914,1.55462,1.45074,1.5096,0.77367,0.74219,0.73369,0.3984,1.58874,1.24648,1.70686,0.0017822,0.0017822,0.0017822
13,975.873,1.53933,1.42668,1.50495,0.80495,0.67969,0.69545,0.37242,1.61795,1.38143,1.74668,0.0017624,0.0017624,0.0017624
14,1048.59,1.52086,1.3891,1.49636,0.78063,0.69503,0.7442,0.38234,1.66144,1.3567,1.77084,0.0017426,0.0017426,0.0017426
15,1123.28,1.4703,1.32541,1.47182,0.79023,0.73828,0.76804,0.41926,1.51543,1.18695,1.68526,0.0017228,0.0017228,0.0017228
16,1196.87,1.46617,1.30588,1.45016,0.86734,0.66403,0.72749,0.36203,1.71171,1.21209,1.82033,0.001703,0.001703,0.001703
17,1269.3,1.43281,1.31468,1.42433,0.81506,0.71484,0.747,0.39245,1.58465,1.21741,1.72885,0.0016832,0.0016832,0.0016832
18,1340.15,1.40265,1.22784,1.41295,0.80523,0.77734,0.81174,0.42815,1.57055,1.00271,1.71613,0.0016634,0.0016634,0.0016634
19,1411.17,1.39083,1.18399,1.40995,0.7989,0.80859,0.81705,0.48164,1.43521,0.96916,1.5896,0.0016436,0.0016436,0.0016436
20,1483.1,1.37891,1.23922,1.40397,0.84671,0.70312,0.78204,0.43017,1.52388,1.06956,1.67937,0.0016238,0.0016238,0.0016238
21,1555.43,1.365,1.15894,1.39722,0.81182,0.8125,0.80666,0.47435,1.45473,1.0073,1.60968,0.001604,0.001604,0.001604
22,1628.95,1.33538,1.11246,1.36402,0.84065,0.84492,0.82282,0.48444,1.39055,0.85976,1.57614,0.0015842,0.0015842,0.0015842
23,1701.17,1.34099,1.09494,1.36342,0.82021,0.80469,0.82205,0.48361,1.36162,0.93114,1.55144,0.0015644,0.0015644,0.0015644
24,1772.19,1.31236,1.09702,1.35376,0.84792,0.78404,0.83651,0.49866,1.4266,0.87838,1.56651,0.0015446,0.0015446,0.0015446
25,1844.18,1.28125,1.05122,1.33882,0.8089,0.82671,0.85884,0.50668,1.41772,0.87512,1.5885,0.0015248,0.0015248,0.0015248
26,1916.58,1.23937,0.98118,1.30878,0.8564,0.82422,0.83397,0.51063,1.33211,0.88381,1.54886,0.001505,0.001505,0.001505
27,1989.36,1.25836,1.02364,1.31595,0.82232,0.81354,0.83817,0.49803,1.39546,0.84628,1.56401,0.0014852,0.0014852,0.0014852
28,2061.29,1.26489,0.99688,1.3241,0.85649,0.83984,0.84322,0.5114,1.32428,0.86887,1.50818,0.0014654,0.0014654,0.0014654
29,2131.77,1.23634,0.99086,1.30354,0.83513,0.87064,0.85623,0.5143,1.34799,0.803,1.55108,0.0014456,0.0014456,0.0014456
30,2202.22,1.2408,0.98734,1.3123,0.85731,0.82422,0.85379,0.53044,1.3159,0.81465,1.54085,0.0014258,0.0014258,0.0014258
31,2273.08,1.23661,0.97842,1.31974,0.85869,0.83984,0.8565,0.52355,1.3659,0.81767,1.53898,0.001406,0.001406,0.001406
32,2344.51,1.18641,0.95915,1.26484,0.84197,0.85328,0.85504,0.53188,1.30575,0.79092,1.49603,0.0013862,0.0013862,0.0013862
33,2417.47,1.17357,0.95706,1.26404,0.85209,0.89062,0.86484,0.5151,1.37526,0.78282,1.56278,0.0013664,0.0013664,0.0013664
34,2488.96,1.1541,0.89361,1.25435,0.8511,0.8708,0.83874,0.52043,1.26765,0.78821,1.50068,0.0013466,0.0013466,0.0013466
35,2561.18,1.1658,0.88608,1.26871,0.85794,0.8257,0.85634,0.53173,1.29783,0.77757,1.50266,0.0013268,0.0013268,0.0013268
36,2635.1,1.17415,0.90031,1.27173,0.86648,0.8619,0.8721,0.5469,1.27568,0.74242,1.48448,0.001307,0.001307,0.001307
37,2707.51,1.14461,0.926,1.24753,0.79895,0.8693,0.85596,0.52338,1.32434,0.80999,1.52208,0.0012872,0.0012872,0.0012872
38,2780.52,1.18318,0.89447,1.27233,0.85028,0.75391,0.80411,0.49431,1.34686,0.9045,1.53529,0.0012674,0.0012674,0.0012674
39,2854.28,1.12109,0.87297,1.22897,0.83801,0.88916,0.8869,0.57569,1.22258,0.72362,1.47123,0.0012476,0.0012476,0.0012476
40,2926.31,1.12978,0.85073,1.23884,0.82506,0.88429,0.87768,0.56443,1.22439,0.71839,1.45846,0.0012278,0.0012278,0.0012278
41,2997.76,1.10476,0.83182,1.23291,0.87318,0.87891,0.86814,0.5808,1.16032,0.66882,1.40244,0.001208,0.001208,0.001208
42,3069.13,1.09736,0.82094,1.21706,0.8436,0.90599,0.86689,0.5684,1.20269,0.6884,1.43871,0.0011882,0.0011882,0.0011882
43,3142.09,1.09653,0.81411,1.21656,0.87381,0.86557,0.88144,0.56715,1.1961,0.67255,1.45124,0.0011684,0.0011684,0.0011684
44,3215.3,1.0803,0.81265,1.20926,0.85917,0.92188,0.89022,0.59784,1.16953,0.63761,1.40929,0.0011486,0.0011486,0.0011486
45,3287.84,1.0832,0.80324,1.20147,0.83247,0.91406,0.87516,0.58632,1.17494,0.67557,1.43069,0.0011288,0.0011288,0.0011288
46,3359.38,1.07188,0.79678,1.19967,0.83487,0.91016,0.87819,0.56819,1.20929,0.7082,1.46813,0.001109,0.001109,0.001109
47,3430.25,1.0744,0.78204,1.19959,0.85541,0.91797,0.8887,0.58666,1.14992,0.63857,1.4261,0.0010892,0.0010892,0.0010892
